time_stamp,name,ballots_cast,total_voters,voter_turnout,ballots_completed_percentage,precincts_reported,precincts_participating,precincts_reported_percent,ballots_ready,ballots_remaining,earlies_remaining,prov_remaining
2022-11-08T09:32:20.943,State,0,4143929,0,0,0,1734,0,0,0,0,0
2022-11-08T09:32:20.943,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T09:32:20.943,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T09:32:20.943,Coconino,0,90829,0,0,0,76,0,0,0,0,0
2022-11-08T09:32:20.943,Gila,0,33949,0,0,0,39,0,0,0,0,0
2022-11-08T09:32:20.943,Graham,0,19487,0,0,0,22,0,0,0,0,0
2022-11-08T09:32:20.943,Greenlee,0,4669,0,0,0,8,0,0,0,0,0
2022-11-08T09:32:20.943,La Paz,0,11311,0,0,0,11,0,0,0,0,0
2022-11-08T09:32:20.943,Maricopa,0,2435397,0,0,0,935,0,0,0,0,0
2022-11-08T09:32:20.943,Mohave,0,146919,0,0,0,24,0,0,0,0,0
2022-11-08T09:32:20.943,Navajo,0,69040,0,0,0,14,0,0,0,0,0
2022-11-08T09:32:20.943,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T09:32:20.943,Pinal,0,262694,0,0,0,109,0,0,0,0,0
2022-11-08T09:32:20.943,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T09:32:20.943,Yavapai,0,166052,0,0,0,49,0,0,0,0,0
2022-11-08T09:32:20.943,Yuma,0,105133,0,0,0,46,0,0,0,0,0
2022-11-08T20:00:22.837,State,47109,4143929,2.14,0,0,1734,0,0,0,0,0
2022-11-08T20:00:22.837,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:00:22.837,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:00:22.837,Coconino,0,90829,0,0,0,76,0,0,0,0,0
2022-11-08T20:00:22.837,Gila,0,33949,0,0,0,39,0,0,0,0,0
2022-11-08T20:00:22.837,Graham,0,19487,0,0,0,22,0,0,0,0,0
2022-11-08T20:00:22.837,Greenlee,0,4669,0,0,0,8,0,0,0,0,0
2022-11-08T20:00:22.837,La Paz,0,11311,0,0,0,11,0,0,0,0,0
2022-11-08T20:00:22.837,Maricopa,0,2435397,0,0,0,935,0,0,0,0,0
2022-11-08T20:00:22.837,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:00:22.837,Navajo,0,69040,0,0,0,14,0,0,0,0,0
2022-11-08T20:00:22.837,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:00:22.837,Pinal,0,262694,0,0,0,109,0,0,0,0,0
2022-11-08T20:00:22.837,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:00:22.837,Yavapai,0,166052,0,0,0,49,0,0,0,0,0
2022-11-08T20:00:22.837,Yuma,0,105133,0,0,0,46,0,0,0,0,0
2022-11-08T20:00:41.89,State,67632,4143929,5.55,0,11,1734,6.67,0,0,0,0
2022-11-08T20:00:41.89,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:00:41.89,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:00:41.89,Coconino,0,90829,0,0,0,76,0,0,0,0,0
2022-11-08T20:00:41.89,Gila,0,33949,0,0,0,39,0,0,0,0,0
2022-11-08T20:00:41.89,Graham,0,19487,0,0,0,22,0,0,0,0,0
2022-11-08T20:00:41.89,Greenlee,0,4669,0,0,0,8,0,0,0,0,0
2022-11-08T20:00:41.89,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:00:41.89,Maricopa,0,2435397,0,0,0,935,0,0,0,0,0
2022-11-08T20:00:41.89,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:00:41.89,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:00:41.89,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:00:41.89,Pinal,0,262694,0,0,0,109,0,0,0,0,0
2022-11-08T20:00:41.89,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:00:41.89,Yavapai,0,166052,0,0,0,49,0,0,0,0,0
2022-11-08T20:00:41.89,Yuma,0,105133,0,0,0,46,0,0,0,0,0
2022-11-08T20:02:18.943,State,195002,4143929,12.43,0,56,1734,12.79,0,0,0,0
2022-11-08T20:02:18.943,Apache,0,51981,0,0,0,44,0,0,0,0,0
2022-11-08T20:02:18.943,Cochise,0,77394,0,0,0,55,0,0,0,0,0
2022-11-08T20:02:18.943,Coconino,0,90829,0,0,0,76,0,0,0,0,0
2022-11-08T20:02:18.943,Gila,14399,33949,42.41,0,0,39,0,0,0,0,0
2022-11-08T20:02:18.943,Graham,0,19487,0,0,0,22,0,0,0,0,0
2022-11-08T20:02:18.943,Greenlee,0,4669,0,0,0,8,0,0,0,0,0
2022-11-08T20:02:18.943,La Paz,2902,11311,25.66,0,11,11,100,0,0,0,0
2022-11-08T20:02:18.943,Maricopa,0,2435397,0,0,0,935,0,0,0,0,0
2022-11-08T20:02:18.943,Mohave,47109,146919,32.06,0,0,24,0,0,0,0,0
2022-11-08T20:02:18.943,Navajo,17621,69040,25.52,0,0,14,0,0,0,0,0
2022-11-08T20:02:18.943,Pima,0,639885,0,0,0,278,0,0,0,0,0
2022-11-08T20:02:18.943,Pinal,32513,262694,12.38,0,0,109,0,0,0,0,0
2022-11-08T20:02:18.943,Santa Cruz,0,29189,0,0,0,24,0,0,0,0,0
2022-11-08T20:02:18.943,Yavapai,80458,166052,48.45,0,45,49,91.84,0,0,0,0
2022-11-08T20:02:18.943,Yuma,0,105133,0,0,0,46,0,0,0,0,0
